Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Fiyat
85 M2,2+1,3.Kat,Merkezi (Pay Ölçer),1.400.000
Net Metrekare,Oda Sayısı,Binanın Kat Sayısı,Kullanım Durumu,Fiyat
100 M2,2+1,4,Kiracı Oturuyor,5.100.000
140 M2,3+1,2.Kat,Merkezi Doğalgaz,3.050.000
100 M2,2+1,2.Kat,Kombi Doğalgaz,2.225.000
82 M2,2+1,1.Kat,Kombi Doğalgaz,1.960.000
83 M2,2+1,2.Kat,Kombi Doğalgaz,2.435.000
96 M2,2+1,2.Kat,Kombi Doğalgaz,2.000.000
46 M2,1+1,2.Kat,Kombi Doğalgaz,1.575.000
121 M2,3+1,3.Kat,Kombi Doğalgaz,3.632.000
108 M2,2+1,2.Kat,Kombi Doğalgaz,3.250.000
45 M2,1+1,2.Kat,Kombi Doğalgaz,1.418.000
88 M2,2+1,1.Kat,Kombi Doğalgaz,2.450.000
92 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,2.575.000
70 M2,2+1,2.Kat,Kombi Doğalgaz,2.085.000
50 M2,1+1,2.Kat,Kombi Doğalgaz,1.385.000
95 M2,2+1,2.Kat,Kombi Doğalgaz,2.600.000arrow_downward%5
90 M2,2+1,5.Kat,Kombi Doğalgaz,2.219.000
55 M2,1+1,Yüksek Giriş,Kombi Doğalgaz,1.481.000
48 M2,1+1,1.Kat,Kombi Doğalgaz,1.575.000
88 M2,2+1,2.Kat,Merkezi Doğalgaz,1.875.000
50 M2,1+1,Yüksek Giriş,Kombi Doğalgaz,1.425.000
225 M2,4+1,3,Boş,7.250.000
125 M2,3+1,5.Kat,Kombi Doğalgaz,1.865.000
44 M2,1+1,2.Kat,Kombi Doğalgaz,1.380.000
290 M2,1 Oda,4,Boş,4.650.000
112 M2,3+1,2.Kat,Kombi Doğalgaz,2.000.000
12 M2,3+1,2.Kat,Kombi Doğalgaz,2.900.000
85 M2,2+1,Düz Giriş (Zemin),Isıtma Yok,1.850.000
120 M2,3+1,2.Kat,Kombi Doğalgaz,2.960.000
100 M2,2+1,Çatı Katı,Kombi Doğalgaz,1.610.000
90 M2,2+1,3.Kat,Kombi Doğalgaz,2.150.000
140 M2,3+1,2.Kat,Merkezi Doğalgaz,3.050.000
100 M2,2+1,2.Kat,Kombi Doğalgaz,2.225.000
82 M2,2+1,1.Kat,Kombi Doğalgaz,1.960.000
83 M2,2+1,2.Kat,Kombi Doğalgaz,2.435.000
96 M2,2+1,2.Kat,Kombi Doğalgaz,2.000.000
46 M2,1+1,2.Kat,Kombi Doğalgaz,1.575.000
121 M2,3+1,3.Kat,Kombi Doğalgaz,3.632.000
